Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
45,2020,12/14/20,13,14,23.342,BAL,@,CLE,W 47-42,*,11,17,64.71,163,1,0,115.6,4,22,9.59,10.76,9,124,13.78,2,2,12,0,0,0,0,0,0,0,0,0,0,-8,0,55,100%,0,0%,0,0%,
46,2020,12/20/20,14,15,23.348,BAL,,JAX,W 40-14,*,17,22,77.27,243,3,1,133.1,1,0,11.05,11.73,10,35,3.5,1,1,6,0,0,0,0,0,0,2,0,0,1,0,0,49,82%,0,0%,0,0%,
47,2020,12/27/20,15,16,23.355,BAL,,NYG,W 27-13,*,17,26,65.38,183,2,0,111.5,0,0,7.04,8.58,13,80,6.15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,55,83%,0,0%,0,0%,
48,2020,1/3/21,16,17,23.362,BAL,@,CIN,W 38-3,*,10,18,55.56,113,3,1,91,0,0,6.28,7.11,11,97,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,68,100%,0,0%,0,0%,
49,2021,9/13/21,1,1,24.249,BAL,@,LVR,L 27-33,*,19,30,63.33,235,1,0,98.6,3,18,7.83,8.5,12,86,7.17,0,0,0,0,0,0,0,0,0,3,2,0,1,4,0,68,100%,0,0%,0,0%,
50,2021,9/19/21,2,2,24.255,BAL,,KAN,W 36-35,*,18,26,69.23,239,1,2,78.8,1,9,9.19,6.5,16,107,6.69,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,
51,2021,9/26/21,3,3,24.262,BAL,@,DET,W 19-17,*,16,31,51.61,287,1,1,81,4,16,9.26,8.45,7,58,8.29,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,58,100%,0,0%,0,0%,
52,2021,10/3/21,4,4,24.269,BAL,@,DEN,W 23-7,*,22,37,59.46,316,1,0,96.2,3,12,8.54,9.08,7,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
53,2021,10/11/21,5,5,24.277,BAL,,IND,W 31-25,*,37,43,86.05,442,4,0,140.5,2,5,10.28,12.14,14,62,4.43,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,73,100%,0,0%,0,0%,
54,2021,10/17/21,6,6,24.283,BAL,,LAC,W 34-6,*,19,27,70.37,167,1,2,68,3,27,6.19,3.59,8,51,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,94%,0,0%,0,0%,
55,2021,10/24/21,7,7,24.29,BAL,,CIN,L 17-41,*,15,31,48.39,257,1,0,87.7,5,18,8.29,8.94,12,88,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,84%,0,0%,0,0%,
56,2021,11/7/21,8,9,24.304,BAL,,MIN,W 34-31,*,27,41,65.85,266,3,2,88.1,3,13,6.49,5.76,21,120,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,100%,0,0%,0,0%,
57,2021,11/11/21,9,10,24.308,BAL,@,MIA,L 10-22,*,26,43,60.47,238,1,1,73.6,4,28,5.53,4.95,9,39,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
59,2021,11/28/21,11,12,24.325,BAL,,CLE,W 16-10,*,20,32,62.5,165,1,4,46.5,2,10,5.16,0.16,17,68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,100%,0,0%,0,0%,
60,2021,12/5/21,12,13,24.332,BAL,@,PIT,L 19-20,*,23,37,62.16,253,1,1,80.1,7,34,6.84,6.16,8,55,6.88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74,100%,0,0%,0,0%,
61,2021,12/12/21,13,14,24.339,BAL,@,CLE,L 22-24,*,4,4,100,17,0,0,84.4,1,0,4.25,4.25,2,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14%,0,0%,0,0,
66,2022,9/11/22,1,1,25.247,BAL,@,NYJ,W 24-9,*,17,30,56.67,213,3,1,98.3,2,2,7.1,7.6,6,17,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
67,2022,9/18/22,2,2,25.254,BAL,,MIA,L 38-42,*,21,29,72.41,318,3,0,142.6,0,0,10.97,13.03,9,119,13.22,1,1,6,0,0,0,0,0,0,1,0,0,0,-5,0,59,100%,0,0%,0,0%,
68,2022,10/2/22,4,4,25.268,BAL,,BUF,L 20-23,*,20,29,68.97,144,1,2,63,2,10,4.97,2.55,11,73,6.64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
69,2022,10/9/22,5,5,25.275,BAL,,CIN,W 19-17,*,19,32,59.38,174,1,1,71.6,1,4,5.44,4.66,12,58,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
70,2022,10/16/22,6,6,25.282,BAL,@,NYG,L 20-24,*,17,32,53.13,210,1,1,71.1,2,15,6.56,5.78,7,77,11,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,59,100%,0,0%,0,0%,
